Time,RtAeroFxi,RtAeroFyi,RtAeroFzi,RtAeroMxi,RtAeroMyi,RtAeroMzi
9.80000015,1151931.8484791133,5337.193913619173,-169816.55180215524,10025746.667840578,-956656.7004304109,-1193437.5037195117
9.85000015,1151929.5280012258,5330.344648218765,-169814.53104638885,10030301.888147473,-956532.8059476687,-1194383.7629450753
9.90000015,1151925.814094919,5319.382453705829,-169811.29684294085,10037592.481829312,-956334.513818586,-1195898.2432701727
9.95000015,1151920.723885491,5304.357878164498,-169806.86410513788,10047584.831024056,-956062.7383935888,-1197973.961231885
10.00000015,1151911.1382853214,5276.0644305375,-169798.516619079,10066401.869005224,-955550.9459817292,-1201882.8382099117
10.05000015,1151887.012165409,5204.852289606864,-169777.50672443912,10113762.713052146,-954262.8091013798,-1211721.140770612
10.10000015,1151872.891786312,5163.173709300683,-169765.2101894729,10141481.76090244,-953508.8966966778,-1217479.2387296674
10.15000015,1151872.6000854017,5162.312706934229,-169764.9561658083,10142054.385152586,-953493.3222610857,-1217598.1903813938
10.20000015,1151861.2854009708,5128.915587745655,-169755.1029308647,10164265.706604742,-952889.2109345335,-1222212.16433217
10.25000015,1151853.8290461937,5106.906951912878,-169748.60966842418,10178902.9237385,-952491.1027589908,-1225252.764087232
10.30000015,1151850.1128565138,5095.938017655393,-169745.3734765326,10186197.999801945,-952292.688716518,-1226768.1755407182
10.35000015,1151825.3862094828,5022.953323907713,-169723.84062123683,10234737.710211203,-950972.4886145582,-1236851.3648677906
10.40000015,1151827.2602879342,5028.484969248324,-169725.4726362875,10231058.795508234,-951072.549029526,-1236087.1412423213
10.45000016,1151831.2618992485,5040.296371574737,-169728.9573836239,10223203.421744067,-951286.2022457678,-1234455.3387401807
10.50000016,1151816.0768974551,4995.475385371446,-169715.73373684852,10253012.380018065,-950475.4477229073,-1240647.5753107183
10.55000016,1151799.6206277022,4946.902046389128,-169701.4030241219,10285316.904251097,-949596.8179200793,-1247358.2176119655
10.60000016,1151795.8153864725,4935.67026209413,-169698.08928293153,10292786.793197172,-949393.6492553905,-1248909.9430726331
10.65000016,1151802.8915596325,4956.556730459074,-169704.25146951954,10278895.892600788,-949771.4588514725,-1246024.3761943816
10.70000016,1151791.2098229798,4922.076197333853,-169694.07859227387,10301827.756896077,-949147.7499474533,-1250788.0290337282
10.75000016,1151785.423184764,4904.995999704332,-169689.03937918556,10313187.23248059,-948838.7909384596,-1253147.7411541585
10.80000016,1151801.0254729867,4951.048674224413,-169702.6264140213,10282559.118968124,-949671.8251333707,-1246785.3408704856
10.85000016,1151800.8182568802,4950.437042406366,-169702.44596276837,10282965.895098852,-949660.7614932143,-1246869.8407718092
10.90000016,1151797.0449828734,4939.299614535087,-169699.16005978783,10290373.030702446,-949459.2996159875,-1248408.5304350278
10.95000016,1151789.1856127486,4916.10141378899,-169692.3158370592,10305801.388189623,-949039.6737270831,-1251613.474350789
11.00000016,1151775.9192151818,4876.943497945052,-169680.7629799839,10331844.025319347,-948331.3569302981,-1257023.3302922691
11.05000016,1151768.3875090934,4854.712450542091,-169674.20409890596,10346629.16104609,-947929.2256128807,-1260094.657284174
11.10000017,1151773.5393695943,4869.918999186302,-169678.690524685,10336515.787547994,-948204.2926994119,-1257993.7988559534
11.15000017,1151783.9401339516,4900.6185356181695,-169687.7478850943,10316098.539333556,-948759.6081915558,-1253752.5090429685
11.20000017,1151771.7372173946,4864.599655799069,-169677.1211456064,10340053.507230377,-948108.0725562341,-1258728.6919371604
11.25000017,1151776.3884483487,4878.328515450375,-169681.1716051352,10330922.895899354,-948356.4101319744,-1256831.9834082804
11.30000017,1151763.8835557024,4841.4183044143465,-169670.28189398666,10355470.65876354,-947688.7514508051,-1261931.308031949
11.35000017,1151763.9708947227,4841.6760996434405,-169670.35795195278,10355299.20766712,-947693.4146379784,-1261895.6923710604
11.40000017,1151760.6639996665,4831.915264596794,-169667.47818856908,10361790.81682773,-947516.8535706903,-1263244.199060777
