# Time(s),U_avg(m/s)
6.750000100000000280e+00,1.056414396141064671e+01
6.800000100000000103e+00,1.057049317301052760e+01
6.850000099999999925e+00,1.055278289770942735e+01
6.900000099999999748e+00,1.057680266862301721e+01
6.950000099999999570e+00,1.057810565851708517e+01
7.000000100000000280e+00,1.056580592272922559e+01
7.050000110000000042e+00,1.056455334158838433e+01
7.100000109999999864e+00,1.053595553935882201e+01
7.150000109999999687e+00,1.056005474224719443e+01
7.200000110000000397e+00,1.056531176419378326e+01
7.250000110000000220e+00,1.055528958752908508e+01
7.300000110000000042e+00,1.054550952563368149e+01
7.350000109999999864e+00,1.054608769875783736e+01
7.400000109999999687e+00,1.055621527554292349e+01
7.450000110000000397e+00,1.055177090379990723e+01
7.500000110000000220e+00,1.057957515005060678e+01
7.550000110000000042e+00,1.060284108097272870e+01
7.600000109999999864e+00,1.058509719983614161e+01
7.650000109999999687e+00,1.056602512442887232e+01
7.700000110000000397e+00,1.055487027835449787e+01
7.750000120000000159e+00,1.056498792614273619e+01
7.800000119999999981e+00,1.056434788773052880e+01
7.850000119999999804e+00,1.054777944706696147e+01
7.900000119999999626e+00,1.055503601622496390e+01
7.950000120000000337e+00,1.053039682866184812e+01
8.000000119999999271e+00,1.055777107297212858e+01
8.050000119999999981e+00,1.056968205034493380e+01
8.100000120000000692e+00,1.060302896814385676e+01
8.150000119999999626e+00,1.059784985063407525e+01
8.200000120000000337e+00,1.055926576888226442e+01
8.250000119999999271e+00,1.056638944223630006e+01
8.300000119999999981e+00,1.056629320734377053e+01
8.350000120000000692e+00,1.058453735716770616e+01
8.400000130000000453e+00,1.060039702021011365e+01
8.450000129999999388e+00,1.061146174154386479e+01
8.500000130000000098e+00,1.062782090950463321e+01
8.550000130000000809e+00,1.063720457529509922e+01
8.600000129999999743e+00,1.059703567289252746e+01
8.650000130000000453e+00,1.059480623121563170e+01
8.700000129999999388e+00,1.060012817352622605e+01
8.750000130000000098e+00,1.058058561642215167e+01
8.800000130000000809e+00,1.059675842474976903e+01
8.850000129999999743e+00,1.059406843037291779e+01
8.900000130000000453e+00,1.059126463441680421e+01
8.950000129999999388e+00,1.062078430581526689e+01
9.000000130000000098e+00,1.062372252511332249e+01
9.050000130000000809e+00,1.062327495648616704e+01
9.100000140000000570e+00,1.063362937266078490e+01
9.150000139999999504e+00,1.065674178601625499e+01
9.200000140000000215e+00,1.066005425211858615e+01
9.250000139999999149e+00,1.064993736809933544e+01
9.300000139999999860e+00,1.064955548360517490e+01
9.350000140000000570e+00,1.066199728042486505e+01
9.400000139999999504e+00,1.066513178835291953e+01
9.450000140000000215e+00,1.067750942857759000e+01
9.500000139999999149e+00,1.070161092277292703e+01
9.550000139999999860e+00,1.070697869122282064e+01
9.600000140000000570e+00,1.067416335663977023e+01
