Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
764.47498,1.0,764.475,0.025,0.183883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10289200.0,0.0,0.0,0.0,0.0,0.933915,0.933915,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183883,0.183883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183885,0.183885,0.183885,0.183885,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.5,1.0,764.5,0.025,0.183885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10289000.0,0.0,0.0,0.0,0.0,0.933902,0.933902,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183885,0.183885,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183886,0.183886,0.183886,0.183886,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.52502,1.0,764.525,0.025,0.183886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10288900.0,0.0,0.0,0.0,0.0,0.93389,0.93389,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183886,0.183886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183888,0.183888,0.183888,0.183888,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.54999,1.0,764.55,0.025,0.183888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10288700.0,0.0,0.0,0.0,0.0,0.933877,0.933877,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183888,0.183888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18389,0.18389,0.18389,0.18389,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.57501,1.0,764.575,0.025,0.18389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10288600.0,0.0,0.0,0.0,0.0,0.933865,0.933865,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.18389,0.18389,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183891,0.183891,0.183891,0.183891,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.59998,1.0,764.6,0.025,0.183891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10288500.0,0.0,0.0,0.0,0.0,0.933853,0.933853,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183891,0.183891,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183893,0.183893,0.183893,0.183893,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.625,1.0,764.625,0.025,0.183893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10288300.0,0.0,0.0,0.0,0.0,0.93384,0.93384,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183893,0.183893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183895,0.183895,0.183895,0.183895,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.65002,1.0,764.65,0.025,0.183895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10288200.0,0.0,0.0,0.0,0.0,0.933828,0.933828,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183895,0.183895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183897,0.183897,0.183897,0.183897,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.67499,1.0,764.675,0.025,0.183897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10288100.0,0.0,0.0,0.0,0.0,0.933815,0.933815,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183897,0.183897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183898,0.183898,0.183898,0.183898,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
764.70001,1.0,764.7,0.025,0.183898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10287900.0,0.0,0.0,0.0,0.0,0.933803,0.933803,0.0,11670800.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.183898,0.183898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1839,0.1839,0.1839,0.1839,0.0,11670800.0,0.0,500.0,87.0,4.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
